config,backend,language,split,file_id,reference,hypothesis,hypothesis_raw,wer,cer,latency_sec,rtf,audio_duration_sec,error
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,jan_vapaavuori_05829,pekka ala pietilä tulee luovuttamaan raporttinsa tammikuussa ja sen jälkeen viedään heti puolivälin tarkasteluun ja sen ensimmäiseen kehysriiheen siitä tietenkin ne osat jotka arvioidaan voitavan toteuttaa niin mahdollisimman,pekka ala pietilä tulee luovuttamaan raporttinsa tammikuussa ja sen jälkeen viedään heti puolivälin tarkasteluun ja sen ensimmäisen kehysriihen siitä tietenkin ne osat jotka arvioidaan voitavan toteuttaa niin mahdollisimman nopeasti,"Pekka Ala-Pietilä tulee luovuttamaan raporttinsa tammikuussa ja sen jälkeen viedään heti puolivälin tarkasteluun ja sen ensimmäisen kehysriihen siitä tietenkin ne osat, jotka arvioidaan voitavan toteuttaa niin mahdollisimman nopeasti.",0.107143,0.048889,49.349,4.266,11.568,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,jouni_backman_01959,tämä on ensimmäinen varsinainen budjetti koko vaalikaudelle mutta on tärkeää että heti alkuvaiheessa hallitus toteuttaa omaan hallitusohjelmaansa kirjattuja,tämä on ensimmäinen varsinainen budjeti koko vaalikaudelle mutta on tärkeää että heti alkuvaiheessa hallitus toteuttaa oman hallitusohjelmansa kirjattuja,"Tämä on ensimmäinen varsinainen budjeti koko vaalikaudelle, mutta on tärkeää, että heti alkuvaiheessa hallitus toteuttaa oman hallitusohjelmansa kirjattuja...",0.166667,0.019231,0.78,0.0704,11.088,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,carl_haglund_02628,mutta et se tärkeä mikä pitäisi parantaa on se että kun siinä kutsuntatilanteessa todetaan että se kaveri ei kykene suorittamaan sitä palvelusta niin siinä vaiheessa pitäisi joku muu taho katsoa että jos sen nuoren miehen tilanne ei ole hyvä että varmistetaan että joku ottaa siitä kopin niin että se ei putoa järjestelmästä väliin,tärkeää mikä pitäisi parantaa on se että kun siinä kutsuntatilanteessa todetaan että se kaveri ei kykene suorittamaan sitä palvelusta niin siinä vaiheessa pitäisi joku muu taho katsoa että jos sen nuoren miehen tilanne ei ole hyvä että varmistetaan että joku ottaa siitä kopin niin että se ei putoa järjestelmästä väliin,"Tärkeää, mikä pitäisi parantaa, on se, että kun siinä kutsuntatilanteessa todetaan, että se kaveri ei kykene suorittamaan sitä palvelusta, niin siinä vaiheessa pitäisi joku muu taho katsoa, että jos sen nuoren miehen tilanne ei ole hyvä, että varmistetaan, että joku ottaa siitä kopin niin, että se ei putoa järjestelmästä väliin.",0.075472,0.039275,9.659,0.491,19.672,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,anne_mari_virolainen_04351,valtiovarainvaliokunnassa pidimme tärkeänä myös päihdeäitien sekä heidän syrjäytymisvaarassa olevien lastensa asiaa,valtiovarainvaliokunnassa pidimme tärkeänä myös päideäitien sekä heidän syrjäytymisvaarassa olevien lastensa asiaa,Valtiovarainvaliokunnassa pidimme tärkeänä myös päideäitien sekä heidän syrjäytymisvaarassa olevien lastensa asiaa.,0.090909,0.008696,49.086,6.2866,7.808,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,jyri_hakamies_02700,meillä on esimerkiksi kaakkois suomessa tämmöinen liikuntaneuvoja mukana näissä tilaisuuksissa ja pyritään niitä jotka itse arvioivat että heidän kuntonsa edellyttäisi kohentamista niin ennen palvelukseen astumista eli vuoden kahden aikana siihen kuntopuoleen,meillä on esimerkiksi kaakkois suomessa tällainen liikuntaneuvoja mukana näissä tilaisuuksissa pyritään niitä jotka itse arvioivat että heidän kuntoonsa edellyttäisi kohentamista niin ennen palveluksen astumista eli vuoden kahden aikana siihen kuntoon puoleen,"Meillä on esimerkiksi Kaakkois-Suomessa tällainen liikuntaneuvoja mukana näissä tilaisuuksissa. Pyritään niitä, jotka itse arvioivat, että heidän kuntoonsa edellyttäisi kohentamista, niin ennen palveluksen astumista, eli vuoden kahden aikana siihen kuntoon puoleen.",0.193548,0.042471,1.037,0.0765,13.563,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,hanna_tainio_01920,lastensuojelun puolellahan on ollut myös vakavia ongelmia mutta niihinkin puututaan nyt vahvistamalla lapsen oikeuksia ja parantamalla työntekijöiden mahdollisuuksia perehtyä lapsen tilanteeseen ja,lastensuojelun puolellahan on ollut myös vakavia ongelmia mutta niihinkin puututaan nyt vahvistamalla lapsen oikeuksia ja parantamalla työntekijöiden mahdollisuuksia perehtyä lapsen tilanteeseen,"Lastensuojelun puolellahan on ollut myös vakavia ongelmia, mutta niihinkin puututaan nyt vahvistamalla lapsen oikeuksia ja parantamalla työntekijöiden mahdollisuuksia perehtyä lapsen tilanteeseen.",0.045455,0.015228,9.45,0.9066,10.424,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,eero_suutari_02968,arvoisa puhemies,arvoisa puheenmies,Arvoisa puheenmies.,0.5,0.125,49.593,54.86,0.904,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,eero_suutari_02922,samalla eduskunta hyväksyy seuraavan hyväksyi seuraavan lausuman,samalla eduskunta hyväksyi seuraavan lausun,Samalla eduskunta hyväksyi seuraavan lausun.,0.428571,0.328125,0.452,0.1279,3.536,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,carl_haglund_02703,valitettavasti valtiontalouden tilasta johtuen eivät puolustusvoimauudistuksen hedelmät ole kuitenkaan jäämässä puolustusvoimien käyttöön,valitettavasti valtiotalouden tilasta johtuen eivät puolustusvoimauudistuksen hedelmät ole kuitenkaan jäämässä puolustusvoimien käyllä,Valitettavasti valtiotalouden tilasta johtuen eivät puolustusvoimauudistuksen hedelmät ole kuitenkaan jäämässä puolustusvoimien käyllä.,0.166667,0.043796,10.165,0.9633,10.552,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,jyri_hakamies_02689,kysymys on siis paitsi siitä että se on olennainen osa että sen korvaaminen tulisi kovin kovin tuota kalliiksi eli eli tässä suhteessa puolustushallinto on lähtenyt lähtenyt tuomalla esille näitä faktoja mutta hallitus lähikuukausina asiaa käsittelee,kysymys on siis paitsi siitä että se on olennainen osa että sen korvaaminen tulisi kovin tuolta kalliiksi eli tässä suhteessa puolustushallinto on lähtenyt tuomalla esille näitä faktoja mutta hallitus lähikuukausina asiaa käsittelee,"Kysymys on siis paitsi siitä, että se on olennainen osa, että sen korvaaminen tulisi kovin tuolta kalliiksi. Eli tässä suhteessa puolustushallinto on lähtenyt tuomalla esille näitä faktoja, mutta hallitus lähikuukausina asiaa käsittelee.",0.114286,0.08,50.302,3.6967,13.607,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,carl_haglund_02604,mitä tulee tähän maanpuolustustahtoon näille alueille joista lakkaa varuskunnat niin puolustusvoimissa on tällä hetkellä suunnitteilla nämä niin sanotut paikallisjoukot joka on siis uusi joukkotyyppi joka on edustaja joka on komentaja puheloisen,maanpuolustusvoimissa on tällä hetkellä suunnitteleva ns paikallisjoukot joka on uusi joukkotyyppi joka on komentaja puheloisen,"Maanpuolustusvoimissa on tällä hetkellä suunnitteleva ns. paikallisjoukot, joka on uusi joukkotyyppi, joka on komentaja puheloisen.",0.612903,0.493878,0.755,0.0578,13.055,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,jyri_hakamies_02376,energiapaletti se perustuu yhtäältä ydinvoiman lisäämiseen ja toisaalta vahvoihin panostuksiin uusiutuvan energian osalta mutta mielestäni kunnianhimon tasoa on syytä nostaa ja sitä hallitus tulee tämän syksyn aikana käsittelemään ja energiailmastostrategia uudistetaan ajastetaan tämän syksyn aikana ja eduskunta saa sen sitten käsiteltäväkseen,energiapaletti perustuu yhtäältä ydinvoiman lisäämiseen ja toisaalta vahvoihin panostuksiin uusiutuva energia osalta mutta mielestäni kunnianhimo tasoa on syytä nostaa ja sitä hallitus tulee tämän syksyn aikana käsittelemään energia ilmastostrategia ajastetaan tämän syksyn aikana ja eduskunta saa sen sitten käsiteltäväkseen,"Energiapaletti perustuu yhtäältä ydinvoiman lisäämiseen ja toisaalta vahvoihin panostuksiin uusiutuva energia osalta. Mutta mielestäni kunnianhimo tasoa on syytä nostaa, ja sitä hallitus tulee tämän syksyn aikana käsittelemään. Energia-ilmastostrategia ajastetaan tämän syksyn aikana, ja eduskunta saa sen sitten käsiteltäväkseen.",0.170732,0.063768,9.65,0.5064,19.056,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,jyri_hakamies_02695,sen yhtiön enemmistö on on on eduskuntavaltuuden takana ja yrityksellä on hyvin keskeinen ja tärkeä rooli energiayhtiönä että siinä mielessä,ene yhtiön enemmistön on eduskuntavaltuuden takana ja yrityksellä on hyvin keskeinen ja tärkeä rooli energiayhtiönä että siinä mielessä,"Ene-yhtiön enemmistön on eduskuntavaltuuden takana ja yrityksellä on hyvin keskeinen ja tärkeä rooli energiayhtiönä, että siinä mielessä...",0.2,0.05,49.214,5.6594,8.696,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,jari_koskinen_02952,on kerrottu että se on edelleenkin meille tärkeä jatkossa ja edelleenkin sen pitää olla samalla tavalla tuotantoon sidottua tukea ja myös mukana oltava investointituet koska se kokonaisuus on meidän mielestämme järkevin ja toiminut tähänkin asti,on kerrottu että se on edelleenkin meille tärkeä jatkossa ja edelleenkin se pitää olla samalla tavalla tuotantoasennettua tukea ja myös mukana investointituet koska se kokonaisuus on meidän mielestämme järkevin ja toimiin ollut tähänkin asti,"On kerrottu, että se on edelleenkin meille tärkeä jatkossa, ja edelleenkin se pitää olla samalla tavalla tuotantoasennettua tukea ja myös mukana investointituet, koska se kokonaisuus on meidän mielestämme järkevin ja toimiin ollut tähänkin asti.",0.171429,0.081633,0.973,0.0827,11.763,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,carl_haglund_02557,taustalla on etenkin se että on haluttu päivittää tätä nykyistä puitelakia jossa suuri yhteiskunnallinen muutos on se tosiasia että liian harva suomalainen liikkuu ja on liian monia suomalaisia jotka sitten eivät liiku,taustalla on etenkin se että on haluttu päivittää tämä nykyistä puiteoakia jossa suuri yhteiskunnallinen muutos on se tosiasia että liian harva suomalainen liikkuu ja on liian monia suomalaisia jotka sitten eivät liiku,"Taustalla on etenkin se, että on haluttu päivittää tämä nykyistä puiteoakia, jossa suuri yhteiskunnallinen muutos on se tosiasia, että liian harva suomalainen liikkuu ja on liian monia suomalaisia, jotka sitten eivät liiku.",0.0625,0.009174,9.377,0.5822,16.107,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,jouni_backman_01836,se millä tavalla se muistuttaa taas sitä keskustan ajattelutapaa on tämä miljardiluokan rahasto jolla valtio olisi panostamassa yritystoimintaan,se millä tavalla se muistuttaa taas sitä keskustan ajattelutapaa on tämä miljardiluokan rahasto jolla valtio olisi panostamassa yritystoimintaa,"Se, millä tavalla se muistuttaa, taas sitä keskustan ajattelutapaa, on tämä miljardiluokan rahasto, jolla valtio olisi panostamassa yritystoimintaa.",0.055556,0.006944,49.263,4.2127,11.694,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,jan_vapaavuori_05850,se johtuu eun pankkikriisin seurauksena syntyneestä pankkisääntelystä joka kiristää vakavaraisuusvaatimuksia,se johtuu eu pankkikriisin seurauksena syntyneestä pankkisääntelystä joka kiristää vakavaraisuusvaatimuksia,"Se johtuu EU-pankkikriisin seurauksena syntyneestä pankkisääntelystä, joka kiristää vakavaraisuusvaatimuksia.",0.1,0.009259,0.677,0.1028,6.584,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,anne_mari_virolainen_04370,liikennepoliittisen selonteon käsittelyn yhteydessä eduskunta hyväksyy kannanoton jonka mukaan mahdollisuudet tie ja liikennerahastojen käyttämiseen on selvitettävä tällä hallituskaudella,liikennepoliittisen selonteon käsittelyn yhteydessä eduskunta hyväksyy kannanoton jonka mukaan mahdollisuudet tie ja liikennerahastojen käyttämiseen on selvitettävä tällä hallituskaudella,"Liikennepoliittisen selonteon käsittelyn yhteydessä eduskunta hyväksyy kannanoton, jonka mukaan mahdollisuudet tie- ja liikennerahastojen käyttämiseen on selvitettävä tällä hallituskaudella.",0.0,0.0,10.133,0.9932,10.203,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,anne_mari_virolainen_04368,koska jo vuosien ajan korjausvelkaa on kerätty runsaasti on aivan ilmeistä että perusväylänpidon rahoitus on tällä hetkellä pahasti jäljessä tavoitetasosta,koska jo vuosien ajan korjausvelkaa on kerätty runsaasti on aivan ilmeistä että perusväylänpidon rahoitus on tällä hetkellä pahasti jäljessä tavoitetasosta,"Koska jo vuosien ajan korjausvelkaa on kerätty runsaasti, on aivan ilmeistä, että perusväylänpidon rahoitus on tällä hetkellä pahasti jäljessä tavoitetasosta.",0.0,0.0,49.202,6.0364,8.151,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,carl_haglund_02577,lakiin on myös lisätty hajanaisen käsitekentän yhtenäistämiseksi määritelmät liikunnasta huippu urheilusta ja terveyttä ja hyvinvointia edistävästä liikunnasta lain sovinto,lakiin on myös lisätty hajanaisen käsitekentän yhtenäistämiseksi määritelmät liikunnasta huippu urheilusta ja terveyden ja hyvinvoinnista edistävästä liikunnasta lain sovintaa,"Lakiin on myös lisätty hajanaisen käsitekentän yhtenäistämiseksi määritelmät liikunnasta, huippu-urheilusta ja terveyden ja hyvinvoinnista edistävästä liikunnasta lain sovintaa.",0.157895,0.046512,0.857,0.0648,13.224,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,eero_suutari_02912,yliopistokeskuksia kehitetään erityisesti aikuisväestön koulutus ja osaamistason nostamisen alueellisina koordinaatio ja resurssikeskuksina sekä alueen tarpeita tukevaan tutkimustoimintaan tukevaan tutkimustoimintaan jossa tehtävässä ne toimivat tiiviissä yhteistyössä alueiden ja niiden,yliopistokeskuksia kehitetään erityisesti aikkuisväestön koulutus ja osaamistason nostamisen alueellisina koordinaatio ja resurssikeskuksina sekä alueen tarpeita tukevaan tutkimustoimintaan jossa tehtävässä ne toimivat tiivissä yhteistyössä alueiden ja niiden yhteistyössä,"Yliopistokeskuksia kehitetään erityisesti aikkuisväestön koulutus- ja osaamistason nostamisen alueellisina koordinaatio- ja resurssikeskuksina sekä alueen tarpeita tukevaan tutkimustoimintaan, jossa tehtävässä ne toimivat tiivissä yhteistyössä alueiden ja niiden yhteistyössä.",0.178571,0.149826,10.546,0.6067,17.384,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,eero_suutari_02947,vesihuoltohankkeet ovat haja asutusalueilla monessa mielessä tarpeellisia ja perusteltuja,vesihuolto hankkeet ovat haja asuntoalueilla monessa mielessä tarpeellisia ja perusteltuja,Vesihuolto-hankkeet ovat haja-asuntoalueilla monessa mielessä tarpeellisia ja perusteltuja.,0.333333,0.044944,47.925,6.3528,7.544,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,jari_koskinen_02773,ne pitää suunata uudestaan mutta olen kovin huolissani että jos metsänomistajan ainoa motiivi tehdä metsässä uudistustöitä tai nuoren metsän hoitotöitä on se että siihen saa valtiolta vähän rahaa,pitää suunnata uudestaan mutta olen kovin huolissani että jos metsänomistajan ainoa motiivi tehdä metsässä uudistustöitä tai nuoren metsän hoitotöitä on se että siihen saa valtilta vähän rahaa,"Pitää suunnata uudestaan, mutta olen kovin huolissani, että jos metsänomistajan ainoa motiivi tehdä metsässä uudistustöitä tai nuoren metsän hoitotöitä on se, että siihen saa valtilta vähän rahaa.",0.107143,0.025641,0.826,0.0674,12.257,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,jouni_backman_01871,allekirjoittanut kaupunginvaltuuston puheenjohtajana ei ole voinut vaikuttaa niihin päätöksiin missä on yksityistetty sosterin puoleen ja nyt niitä palautetaan takaisin kunnan omaan työhön,allekirjoittanut kaupunginvaltuuston puheenjohtaja ei ole voinut vaikuttaa niihin päätöksiin missä on yksityistetty sosterin puoleen ja nyt niitä palautetaan takaisin kunnan omaan työhön,"Allekirjoittanut kaupunginvaltuuston puheenjohtaja ei ole voinut vaikuttaa niihin päätöksiin, missä on yksityistetty Sosterin puoleen ja nyt niitä palautetaan takaisin kunnan omaan työhön.",0.045455,0.010638,11.298,1.3866,8.148,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,anne_mari_virolainen_04355,sitä odotellessa toivomme tästä salista kaikilta kaikilta kannatusta istanbulin sopimuksen eteenpäinviemiseen edustaja tossavainen poissa,sitä odotellessa toivomme tästä sallista kaikilta kannatusta istanbulin sopimuksen eteenpäin viemiseen,Sitä odotellessa toivomme tästä sallista kaikilta kannatusta Istanbulin sopimuksen eteenpäin viemiseen.,0.428571,0.284672,47.968,3.9474,12.152,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,jari_koskinen_03001,ja kyl se meidän toivomus on kaikkien se että markkinat toimisi paremmin ja kysyntää olisi sillä tavalla että syntyisi myös semmoista energiantuotantoa ettei aina kysyttäisi sitä paljonko pitää maksaa tukea elikkä että löytyisi sitten ihan kannattavaa toimintaa,tietysti meidän toivomus on kaikkiaan se että markkinat toimisivat paremmin ja kysyntä olisi sillä tavalla että ei syntyisi myös sellaista energiantuotantoa että aina kun kysyttäisiin sitä että paljonko pitää maksaa tukea eli että löytyisi sitten ihan kannattavaa toimintaa,"Tietysti meidän toivomus on kaikkiaan se, että markkinat toimisivat paremmin ja kysyntä olisi sillä tavalla, että ei syntyisi myös sellaista energiantuotantoa, että aina kun kysyttäisiin sitä, että paljonko pitää maksaa tukea, eli että löytyisi sitten ihan kannattavaa toimintaa.",0.351351,0.137931,0.99,0.0775,12.779,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,eero_suutari_02863,sulussa kulutustason nosto asiantuntemusta ja tutkimustoimintaa yritysten ja julkisen sektorin käyttöön sulku kiinni että emo yhtiö emo yliopistolle muun muassa,sulussa koulutustason nosto asiantuntemusta ja tutkimustoimintaa yritysten ja julkisen sektorin käyttöön sulku kiinni,"sulussa koulutustason nosto, asiantuntemusta ja tutkimustoimintaa yritysten ja julkisen sektorin käyttöön sulku kiinni.",0.4,0.28125,10.996,1.0412,10.56,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,jyri_hakamies_02477,eli eli ihan perustuslain mukaan että valtioneuvosto valmistelee mutta eduskuntaseuranta eduskuntavalmistelu olisi siinä tiiviisti mukana kriisihallinnan,eli ihan perustuslain mukaan että valtioneuvosto valmistelee mutta eduskunta seuranta eduskunta valmistelu olisi siinä tiiviisti mukana,"Eli ihan perustuslain mukaan, että valtioneuvosto valmistelee, mutta eduskunta, seuranta, eduskunta, valmistelu olisi siinä tiiviisti mukana.",0.375,0.143791,48.025,4.4534,10.784,
azure_whisper_auto,azure_whisper,auto,2016-dev-seen,jouni_backman_01973,se on ongelma niin yksittäisten kansalaisten koko yhteiskunnan tasolla ja siihen pitää määrätietoisesti puuttua,se on ongelma yksittäisten kansalaisten koko yhteiskunnan tasolla ja siihen pitää määrätietoista puutua,"Se on ongelma yksittäisten kansalaisten, koko yhteiskunnan tasolla, ja siihen pitää määrätietoista puutua.",0.214286,0.081081,0.604,0.0636,9.504,
